,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred six,0.png,nineteen nineteen nineteen,1.png,two hundred sixty,nineteen nineteen nineteen,False,0,0,0,0
1,one hundred,2.png,nineteen nineteen,3.png,one thousand,nineteen nineteen,False,0,0,0,0
2,sixty seven,4.png,nineteen nineteen,5.png,six hundred seventy,nineteen nineteen nineteen,False,0,0,0,0
3,one thousand two,6.png,nineteen nineteen nineteen,7.png,one thousand twenty,nineteen nineteen nineteen,False,0,0,0,0
4,twenty one,8.png,nineteen nineteen,9.png,two hundred one,nineteen nineteen nineteen,False,0,0,0,0
5,one hundred five,10.png,nineteen nineteen nineteen,11.png,one hundred twenty five,nineteen nineteen nineteen nineteen,True,0,0,0,0
6,three hundred five,12.png,nineteen nineteen nineteen,13.png,three hundred fifty,nineteen nineteen nineteen,True,0,0,0,0
7,forty two,14.png,seventeen nineteen,15.png,four hundred two,nineteen nineteen nineteen,False,0,0,0,0
8,five,16.png,nineteen,17.png,fifteen,nineteen,False,0,0,0,0
9,eleven,18.png,thirty,19.png,twenty four,seventeen nineteen,False,0,0,0,0
10,two,20.png,nineteen,21.png,eight,fifty,False,0,0,0,0
11,twenty five,22.png,nineteen nineteen,23.png,four hundred five,nineteen nineteen nineteen,False,0,0,0,0
12,sixty two,24.png,nineteen nineteen,25.png,six hundred two,nineteen nineteen nineteen,True,0,0,0,0
13,twenty one,26.png,nineteen nineteen,27.png,two hundred ten,nineteen nineteen nineteen,True,0,0,0,0
14,twenty four,28.png,seventeen nineteen,29.png,two hundred four,nineteen nineteen nineteen,True,0,0,0,0
15,seventeen,30.png,thirty,31.png,twenty one,nineteen nineteen,True,0,0,0,0
16,thirty five,32.png,nineteen nineteen,33.png,three hundred five,nineteen nineteen nineteen,False,0,0,0,0
17,forty seven,34.png,seventeen nineteen,35.png,four hundred seventy,nineteen nineteen nineteen,False,0,0,0,0
18,nineteen,36.png,nineteen,37.png,one hundred nine,nineteen nineteen nineteen,False,0,0,0,0
19,sixteen,38.png,nineteen,39.png,one hundred six,nineteen nineteen nineteen,False,0,0,0,0
20,fifty three,40.png,nineteen nineteen,41.png,eighty,four,False,0,0,0,0
21,two hundred sixteen,42.png,nineteen nineteen nineteen,43.png,two hundred sixty one,nineteen nineteen nineteen nineteen,True,0,0,0,0
22,four hundred twelve,44.png,nineteen nineteen nineteen,45.png,four hundred twenty one,nineteen nineteen nineteen nineteen,True,0,0,0,0
23,six,46.png,nineteen,47.png,thirteen,nineteen,False,0,0,0,0
