,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,seventy eight,1.png,eight hundred seven,eight eight eight,True,0,0,0,0
1,sixty four,2.png,eight eight,3.png,six hundred four,eight eight eight,True,0,0,0,0
2,eighty five,4.png,eight eight,5.png,eight hundred fifty,eight eight eight,False,0,0,0,0
3,thirty six,6.png,eight eight,7.png,three hundred six,eight eight twenty,False,0,0,0,0
4,twelve,8.png,eight,9.png,twenty two,eight eight,True,0,0,0,0
5,four hundred,10.png,eight eight,11.png,four thousand,eight twenty,True,0,0,0,0
6,seventy six,12.png,eight eight,13.png,seven hundred sixty,seventy eight eight,True,0,0,0,0
7,thirty one,14.png,twelve eight,15.png,three hundred one,eight eight eight,False,0,0,0,0
8,eighty nine,16.png,eight eight,17.png,eight hundred nine,eight eight eighteen,True,0,0,0,0
9,three hundred seven,18.png,eight eight eight,19.png,three hundred sixty seven,eight eight twenty twenty,True,0,0,0,0
10,thirteen,20.png,twelve,21.png,forty two,eight eight,False,0,0,0,0
11,five hundred eight,22.png,eight eight eight,23.png,five hundred eighty,eight eight eight,True,0,0,0,0
12,two thousand three,24.png,eight eight eight,25.png,two thousand thirty,eight eight eight,True,0,0,0,0
13,three hundred six,26.png,eight eight twenty,27.png,three hundred sixty,eight eight twenty,True,0,0,0,0
14,seven,28.png,seventy,29.png,eighteen,eight,True,0,0,0,0
15,five,30.png,eight,31.png,eight,eight,True,0,0,0,0
16,five hundred,32.png,eight eight,33.png,five thousand,eight eight,True,0,0,0,0
17,thirty six,34.png,eight eight,35.png,five hundred nine,eight eight twenty,True,0,0,0,0
18,forty two,36.png,eight eight,37.png,four hundred twenty,eight eight eight,True,0,0,0,0
19,twenty seven,38.png,seventy seventy,39.png,two hundred seven,seventy eight eight,False,0,0,0,0
20,six hundred eight,40.png,eight eight eight,41.png,six hundred fifty eight,eight eight eight eighteen,True,0,0,0,0
21,seventeen,42.png,seventy,43.png,twenty eight,eight eight,False,0,0,0,0
22,five hundred sixty seven,44.png,eight eight eight twenty,45.png,five hundred seventy six,eight eight eight twenty,True,0,0,0,0
23,one,46.png,ten,47.png,nine,eight,False,0,0,0,0
