,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,two hundred and,1.png,two hundred and sixty,two hundred and,False,206,260,200,200
1,one hundred,2.png,one hundred and,3.png,one thousand,one thousand,True,100,1000,100,1000
2,sixty seven,4.png,four hundred and,5.png,six hundred and seventy,six hundred and,True,67,670,400,600
3,one thousand and two,6.png,one thousand and,7.png,one thousand and twenty,one thousand and,True,1002,1020,1000,1000
4,twenty one,8.png,twenty,9.png,two hundred and one,two hundred and,True,21,201,20,200
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,one hundred and five,True,105,125,100,105
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,three hundred and twenty,True,305,350,305,320
7,forty two,14.png,four,15.png,four hundred and two,four hundred and,True,42,402,4,400
8,five,16.png,five,17.png,fifteen,one hundred and,True,5,15,5,100
9,eleven,18.png,one,19.png,twenty four,twenty hundred,True,11,24,1,2000
10,two,20.png,two,21.png,eight,eight,True,2,8,2,8
11,twenty five,22.png,five hundred,23.png,four hundred and five,four hundred and five,True,25,405,500,405
12,sixty two,24.png,<unk> hundred and,25.png,six hundred and two,six hundred and,True,62,602,N/A,600
13,twenty one,26.png,twenty,27.png,two hundred and ten,four hundred and,True,21,210,20,400
14,twenty four,28.png,twenty hundred,29.png,two hundred and four,four hundred and,True,24,204,2000,400
15,seventeen,30.png,<unk>,31.png,twenty one,twenty,True,17,21,N/A,20
16,thirty five,32.png,three hundred and,33.png,three hundred and five,three hundred and five,False,35,305,300,305
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,<unk> hundred,37.png,one hundred and nine,one hundred,True,19,109,N/A,100
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred and,True,16,106,N/A,100
20,fifty three,40.png,five hundred,41.png,eighty,sixty,True,53,80,500,60
21,two hundred and sixteen,42.png,one hundred and,43.png,two hundred and sixty one,two hundred and,False,216,261,100,200
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,False,412,421,400,400
23,six,46.png,six,47.png,thirteen,five hundred and,True,6,13,6,500
