,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,two hundred and,1.png,two hundred and sixty,two hundred and,False,206,260,200,200
1,one hundred,2.png,one hundred and,3.png,one thousand,one thousand,True,100,1000,100,1000
2,sixty seven,4.png,two hundred,5.png,six hundred and seventy,four hundred and,True,67,670,200,400
3,one thousand and two,6.png,three thousand and,7.png,one thousand and twenty,one thousand,False,1002,1020,3000,1000
4,twenty one,8.png,twenty hundred,9.png,two hundred and one,two hundred and,True,21,201,2000,200
5,one hundred and five,10.png,one hundred and five,11.png,one hundred and twenty five,one hundred and five five,True,105,125,105,110
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,three hundred and five,True,305,350,305,305
7,forty two,14.png,four four,15.png,four hundred and two,four hundred and,False,42,402,8,400
8,five,16.png,five,17.png,fifteen,one hundred and,True,5,15,5,100
9,eleven,18.png,one hundred,19.png,twenty four,twenty hundred and,True,11,24,100,2000
10,two,20.png,two,21.png,eight,eight,True,2,8,2,8
11,twenty five,22.png,five hundred and,23.png,four hundred and five,four hundred and five,True,25,405,500,405
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred and,False,62,602,200,200
13,twenty one,26.png,twenty hundred,27.png,two hundred and ten,two hundred and,True,21,210,2000,200
14,twenty four,28.png,twenty hundred and,29.png,two hundred and four,two hundred and,True,24,204,2000,200
15,seventeen,30.png,one,31.png,twenty one,twenty hundred,True,17,21,1,2000
16,thirty five,32.png,three hundred,33.png,three hundred and five,three hundred and five,True,35,305,300,305
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one hundred and,True,19,109,N/A,100
19,sixteen,38.png,one hundred and,39.png,one hundred and six,six hundred and,True,16,106,100,600
20,fifty three,40.png,three,41.png,eighty,eighty,True,53,80,3,80
21,two hundred and sixteen,42.png,two hundred and,43.png,two hundred and sixty one,two hundred and,False,216,261,200,200
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and twenty,True,412,421,400,420
23,six,46.png,two,47.png,thirteen,three hundred,True,6,13,2,300
