,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,two hundred and,1.png,two hundred and sixty,two hundred and,True,206,260,200,200
1,one hundred,2.png,one hundred and,3.png,one thousand,one thousand,True,100,1000,100,1000
2,sixty seven,4.png,four hundred and,5.png,six hundred and seventy,four hundred and,True,67,670,400,400
3,one thousand and two,6.png,one hundred and,7.png,one thousand and twenty,one hundred and,True,1002,1020,100,100
4,twenty one,8.png,one hundred and,9.png,two hundred and one,four hundred and,True,21,201,100,400
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,one hundred and twenty,True,105,125,100,120
6,three hundred and five,12.png,five hundred and twenty,13.png,three hundred and fifty,three hundred and twenty,False,305,350,520,320
7,forty two,14.png,four hundred and,15.png,four hundred and two,four hundred and,False,42,402,400,400
8,five,16.png,three hundred,17.png,fifteen,one hundred and,True,5,15,300,100
9,eleven,18.png,one,19.png,twenty four,one hundred and,True,11,24,1,100
10,two,20.png,two,21.png,eight,two hundred,False,2,8,2,200
11,twenty five,22.png,one hundred and,23.png,four hundred and five,four hundred and,True,25,405,100,400
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred and,True,62,602,200,200
13,twenty one,26.png,one hundred and,27.png,two hundred and ten,one hundred and,True,21,210,100,100
14,twenty four,28.png,one hundred and,29.png,two hundred and four,four hundred and,True,24,204,100,400
15,seventeen,30.png,one hundred,31.png,twenty one,one hundred and,True,17,21,100,100
16,thirty five,32.png,three hundred and,33.png,three hundred and five,five hundred and twenty,False,35,305,300,520
17,forty seven,34.png,four hundred and,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,one hundred and,37.png,one hundred and nine,one hundred,True,19,109,100,100
19,sixteen,38.png,one hundred,39.png,one hundred and six,one hundred and,True,16,106,100,100
20,fifty three,40.png,five hundred and twenty,41.png,eighty,two hundred and,True,53,80,520,200
21,two hundred and sixteen,42.png,four hundred and,43.png,two hundred and sixty one,four hundred and,False,216,261,400,400
22,four hundred and twelve,44.png,one hundred and twenty,45.png,four hundred and twenty one,four hundred and twenty,False,412,421,120,420
23,six,46.png,one hundred,47.png,thirteen,one hundred and,True,6,13,100,100
