,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,four thousand,1.png,two hundred and sixty,two hundred and,False,206,260,4000,200
1,one hundred,2.png,one hundred,3.png,one thousand,one thousand,True,100,1000,100,1000
2,sixty seven,4.png,four hundred,5.png,six hundred and seventy,five hundred and,True,67,670,400,500
3,one thousand and two,6.png,one thousand,7.png,one thousand and twenty,four thousand,True,1002,1020,1000,4000
4,twenty one,8.png,one,9.png,two hundred and one,two hundred,True,21,201,1,200
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,five hundred and five,True,105,125,100,505
6,three hundred and five,12.png,five hundred and five,13.png,three hundred and fifty,three hundred and,False,305,350,505,300
7,forty two,14.png,four hundred,15.png,four hundred and two,four hundred and,False,42,402,400,400
8,five,16.png,three,17.png,fifteen,one hundred and,False,5,15,3,100
9,eleven,18.png,one hundred,19.png,twenty four,four hundred,True,11,24,100,400
10,two,20.png,two,21.png,eight,two,True,2,8,2,2
11,twenty five,22.png,five hundred and,23.png,four hundred and five,four hundred and five,True,25,405,500,405
12,sixty two,24.png,two hundred,25.png,six hundred and two,two hundred and,False,62,602,200,200
13,twenty one,26.png,one,27.png,two hundred and ten,two hundred and,True,21,210,1,200
14,twenty four,28.png,four hundred,29.png,two hundred and four,four thousand,True,24,204,400,4000
15,seventeen,30.png,one,31.png,twenty one,one,True,17,21,1,1
16,thirty five,32.png,three hundred and,33.png,three hundred and five,five hundred and five,True,35,305,300,505
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,one,37.png,one hundred and nine,one,True,19,109,1,1
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred,True,16,106,N/A,100
20,fifty three,40.png,five hundred and,41.png,eighty,two,True,53,80,500,2
21,two hundred and sixteen,42.png,two hundred and,43.png,two hundred and sixty one,two hundred and,False,216,261,200,200
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,True,412,421,400,400
23,six,46.png,two,47.png,thirteen,three hundred,True,6,13,2,300
