,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,three thousand,1.png,two hundred and sixty,two hundred and,False,206,260,3000,200
1,one hundred,2.png,one,3.png,one thousand,one thousand,False,100,1000,1,1000
2,sixty seven,4.png,two hundred,5.png,six hundred and seventy,five hundred and,True,67,670,200,500
3,one thousand and two,6.png,two thousand,7.png,one thousand and twenty,four thousand and,False,1002,1020,2000,4000
4,twenty one,8.png,one hundred and,9.png,two hundred and one,four,True,21,201,100,4
5,one hundred and five,10.png,one hundred and five,11.png,one hundred and twenty five,five hundred and five,True,105,125,105,505
6,three hundred and five,12.png,three hundred and five,13.png,three hundred and fifty,three hundred and,False,305,350,305,300
7,forty two,14.png,four hundred and,15.png,four hundred and two,four hundred and,False,42,402,400,400
8,five,16.png,five,17.png,fifteen,five hundred,False,5,15,5,500
9,eleven,18.png,one hundred,19.png,twenty four,one hundred and,True,11,24,100,100
10,two,20.png,two,21.png,eight,two,True,2,8,2,2
11,twenty five,22.png,five hundred and,23.png,four hundred and five,four hundred and,True,25,405,500,400
12,sixty two,24.png,two hundred and,25.png,six hundred and two,two hundred and,True,62,602,200,200
13,twenty one,26.png,one hundred and,27.png,two hundred and ten,two hundred and,True,21,210,100,200
14,twenty four,28.png,one hundred and,29.png,two hundred and four,four thousand,True,24,204,100,4000
15,seventeen,30.png,<unk>,31.png,twenty one,one hundred and,True,17,21,N/A,100
16,thirty five,32.png,three hundred and,33.png,three hundred and five,three hundred and five,True,35,305,300,305
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,<unk>,37.png,one hundred and nine,one,True,19,109,N/A,1
19,sixteen,38.png,<unk>,39.png,one hundred and six,four,True,16,106,N/A,4
20,fifty three,40.png,five hundred and,41.png,eighty,eighty,True,53,80,500,80
21,two hundred and sixteen,42.png,four hundred and,43.png,two hundred and sixty one,four hundred and,True,216,261,400,400
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,False,412,421,400,400
23,six,46.png,two,47.png,thirteen,five,True,6,13,2,5
