,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,seventy eight,0.png,four,1.png,eight hundred and seven,four hundred and,True,78,807,4,400
1,sixty four,2.png,<unk>,3.png,six hundred and four,four thousand and,False,64,604,N/A,4000
2,eighty five,4.png,four,5.png,eight hundred and fifty,four,True,85,850,4,4
3,thirty six,6.png,three,7.png,three hundred and six,three hundred and,True,36,306,3,300
4,twelve,8.png,one,9.png,twenty two,two hundred and,True,12,22,1,200
5,four hundred,10.png,four thousand,11.png,four thousand,four thousand,True,400,4000,4000,4000
6,seventy six,12.png,<unk> hundred,13.png,seven hundred and sixty,four hundred and,True,76,760,N/A,400
7,thirty one,14.png,thirty,15.png,three hundred and one,three hundred and,True,31,301,30,300
8,eighty nine,16.png,eighty,17.png,eight hundred and nine,two thousand,True,89,809,80,2000
9,three hundred and seven,18.png,three hundred and,19.png,three hundred and sixty seven,three hundred and twenty,True,307,367,300,320
10,thirteen,20.png,three,21.png,forty two,four hundred,True,13,42,3,400
11,five hundred and eight,22.png,four hundred and,23.png,five hundred and eighty,three hundred and,True,508,580,400,300
12,two thousand and three,24.png,two thousand,25.png,two thousand and thirty,three thousand,True,2003,2030,2000,3000
13,three hundred and six,26.png,three hundred and,27.png,three hundred and sixty,three hundred and,True,306,360,300,300
14,seven,28.png,seven,29.png,eighteen,<unk>,True,7,18,7,N/A
15,five,30.png,three,31.png,eight,eight,True,5,8,3,8
16,five hundred,32.png,five hundred and,33.png,five thousand,three thousand and,True,500,5000,500,3000
17,thirty six,34.png,three,35.png,five hundred and nine,five hundred and,True,36,509,3,500
18,forty two,36.png,four hundred,37.png,four hundred and twenty,four hundred and,True,42,420,400,400
19,twenty seven,38.png,twenty hundred and,39.png,two hundred and seven,two hundred and,True,27,207,2000,200
20,six hundred and eight,40.png,four,41.png,six hundred and fifty eight,two hundred and,False,608,658,4,200
21,seventeen,42.png,<unk>,43.png,twenty eight,two hundred,True,17,28,N/A,200
22,five hundred and sixty seven,44.png,five hundred and twenty,45.png,five hundred and seventy six,four hundred and,False,567,576,520,400
23,one,46.png,one,47.png,nine,nine,True,1,9,1,9
