,desired_label,target_image,target_model_generated_label,foil_image,foil_word,foil_model_generated_label,correct,true_target_numbers,true_foil_numbers,predicted_target_numbers,predicted_foil_numbers
0,two hundred and six,0.png,four thousand,1.png,two hundred and sixty,two hundred and,False,206,260,4000,200
1,one hundred,2.png,one hundred,3.png,one thousand,one thousand,True,100,1000,100,1000
2,sixty seven,4.png,four hundred and,5.png,six hundred and seventy,four hundred and,True,67,670,400,400
3,one thousand and two,6.png,one thousand,7.png,one thousand and twenty,four thousand and,False,1002,1020,1000,4000
4,twenty one,8.png,one hundred,9.png,two hundred and one,four,True,21,201,100,4
5,one hundred and five,10.png,one hundred and,11.png,one hundred and twenty five,one hundred and twenty,True,105,125,100,120
6,three hundred and five,12.png,five hundred and,13.png,three hundred and fifty,four hundred and,False,305,350,500,400
7,forty two,14.png,four hundred,15.png,four hundred and two,four hundred and,True,42,402,400,400
8,five,16.png,four,17.png,fifteen,one hundred and,False,5,15,4,100
9,eleven,18.png,one,19.png,twenty four,four hundred and,True,11,24,1,400
10,two,20.png,two,21.png,eight,eight,True,2,8,2,8
11,twenty five,22.png,four,23.png,four hundred and five,four hundred and,True,25,405,4,400
12,sixty two,24.png,two hundred and,25.png,six hundred and two,five hundred and,False,62,602,200,500
13,twenty one,26.png,one hundred,27.png,two hundred and ten,two hundred and,True,21,210,100,200
14,twenty four,28.png,four hundred and,29.png,two hundred and four,four thousand,True,24,204,400,4000
15,seventeen,30.png,four,31.png,twenty one,one hundred,True,17,21,4,100
16,thirty five,32.png,three hundred and,33.png,three hundred and five,five hundred and,False,35,305,300,500
17,forty seven,34.png,four hundred,35.png,four hundred and seventy,four hundred and,True,47,470,400,400
18,nineteen,36.png,one hundred and,37.png,one hundred and nine,one,True,19,109,100,1
19,sixteen,38.png,<unk>,39.png,one hundred and six,one hundred,True,16,106,N/A,100
20,fifty three,40.png,three hundred and,41.png,eighty,eight,True,53,80,300,8
21,two hundred and sixteen,42.png,four hundred and,43.png,two hundred and sixty one,two hundred and,False,216,261,400,200
22,four hundred and twelve,44.png,four hundred and,45.png,four hundred and twenty one,four hundred and,False,412,421,400,400
23,six,46.png,eight,47.png,thirteen,one hundred and,True,6,13,8,100
